,R2,p,RMSE,id
0,0.7577370791752356,0.0006728092884483638,60.831110218731595,RP_01
0,0.8991470421670735,0.0001659932037592192,136.87225687088915,RP_02
0,0.9129423963597425,0.004096465606687719,93.2760340760016,RP_06
0,0.9620180779688919,8.696658764176023e-06,88.3552785369678,RP_08
0,0.9021645570242123,1.0224247823342547e-05,46.09420705459906,RP_09
0,0.7542596475688323,0.01171454445925535,154.42694468943122,RP_10
0,0.924769823101624,4.610300010717426e-05,49.26865346969791,RP_12
0,0.7824465629747388,0.0015697342061367484,164.6562815263974,RP_13
0,0.7992252544226536,0.0006042031235686814,143.707481877616,RP_15
0,0.7206337283258996,0.0011005527239291524,169.53746943553287,RP_16
0,0.9964617343670733,1.1044806460568751e-07,123.04207077690867,RP_17
0,0.9782757913855955,0.0038311532292194463,79.87610830633416,RP_18
0,0.9113839715167947,3.616869325815197e-07,145.55256832245783,SD_02
0,0.9199165831137028,0.0033374840094313554,142.84082286461077,SO_02
0,0.7912201621132886,0.00044235153324501,32.907687133367496,SR_02
0,0.8178542020751289,0.003840873426873128,127.20537081630933,ST_02
